                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   1
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
00791 KOLKATA  NEW ALIPORE                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00792 ANANDWAN                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00793 CHASKAMAN                              118.00                0.00                0.00                  0.00              0.00                0.00                0.00
00794 NEWDELHI GREATER KAILASH                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00795 KHAMARIA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00796 BHANEGAON                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00797 DEWHADI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00798 LOHARA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00799 PADOLI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00800 ASHTA   (SEONI)                        736.00                0.00                0.00                  0.00              0.00                0.00                0.00
00801 KHADI                                    0.00            27000.00                0.00                  0.00              0.00                0.00                0.00
00802 KHAJURIA KALAN                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00803 BHAUKHEDI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00804 BHEDASGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00805 VELTUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00806 NAND                                 29500.00                0.00                0.00                  0.00              0.00                0.00                0.00
00807 SARPAVARAM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00808 KHACHRAUD                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00809 DIWADIA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  17
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00810 BIKANER                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00811 AHMEDABAD GANDHINAGAR                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00812 BRAHMAPURI (SOLAPUR)                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00813 SUSTE                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00814 SAKOL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00815 MOHADI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00816 NANDESHWAR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00817 WATAMBARE                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00818 KUR                                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00819 MANJARDE                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00820 JAIKHEDA                                 0.00                0.00                0.00               1818.00              0.00                0.00                0.00
00821 BRIJISH NAGAR                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00822 PUNE SANGAMWADI                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00823 VEERGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00824 SHINGANAPUR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00825 GAUDGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00826 SHEMBA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00827 KALMAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00828 LASURNE                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00829 SAWANGI BAZAR                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00830 CHINCHOLI LIMBAJI                        0.00                0.00                0.00                231.00              0.00                0.00                0.00
00831 UDAIPUR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00832 NIMGAON (NASIK)                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00833 WADEGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00834 AMBAD I. E. (NASIK)                      0.00                0.00                0.00                944.00              0.00                0.00                0.00
00835 SAWALMEDHA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00836 BAWANBIR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00837 HAJI TAKLI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00838 ROHINKHED                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00839 MULTAI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00840 MUMBAI BANDRA WEST                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00841 GHATBORI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00842 UGAON                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00843 KATOL (MURTI)                           46.00                0.00                0.00                  0.00              0.00                0.00                0.00
00844 KOLHAPUR RUIKAR COLONY                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00845 DABHADI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00846 NAGPUR JARIPATKA                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00847 MERA BUDRUK                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00848 WARASEONI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00849 BELGAUM SADASHIVNAGAR                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00850 NAROL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00851 OLD JALNA                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00852 PUNE MAYUR COLONY                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00853 PUNE THERGAON                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00854 GHUGARIA KHEDI                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00855 RODIA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00856 TURKEWADI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00857 TARANA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00858 GHOTAWADE                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00859 KONDHWE BUDRUK                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  18
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00860 KELGHAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00861 KANHER                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00862 CHIMANGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00863 VEVJI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00864 KHANAPUR (AMRAVATI)                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00865 CHINCHOLI (AMRAVATI)                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00866 KHED                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00867 MAHULI CHOR                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00868 PIMPLOD                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00869 BHATKULI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00870 KANNAMWAR GRAM                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00871 RALEGAON SHINDI                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00872 WAKADI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00873 SHELWAD                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00874 BHOUR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00875 KHADKEWADA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00876 BAGMANDLE                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00877 KASHELE                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00878 ACHALPUR                           1814221.00                0.00                0.00                  0.00              0.00                0.00                0.00
00879 MASOD TAPOVAN  (AMRAVATI)                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00880 DESARANE                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00881 LAKHELGAON                               0.00             5000.00                0.00                  0.00              0.00                0.00                0.00
00882 YESGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00883 HISALE                                   0.00                0.00                0.00                  2.00-             0.00                0.00                0.00
00884 PADALDE                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00885 RANJANGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00886 ADKUR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00887 SAKRA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00888 JEEN                                     0.00              600.00                0.00                  0.00              0.00                0.00                0.00
00889 SUSUNDRA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00890 THANE C.B.D. BELAPUR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00891 MAKA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00892 RITHPUR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00893 PIMPALKOTHE                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00894 SEHORE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00895 KALE COLONY (PUNE)                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00896 KHARGONE                                 0.00                0.00                0.00                944.00              0.00                0.00                0.00
00897 DHAR                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00898 BHADANE                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00899 PIMPRI GAWALI                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00900 SRIWARDHAN                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00901 NEWDELHI DR.MUKHERJEE NGR                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00902 MUMBAI ANDHERI WEST                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00903 WAROOR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00904 UMBERKHEDA                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00905 NEWDELHI PREET VIHAR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00906 MARTALA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00907 SHIROSHI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00908 INDURI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00909 MURUD(JANJIRA)                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  19
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00910 MANGRULPIR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00911 SURJI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00912 PANSHET                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00913 TERKHEDA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00914 JATEGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00915 BELGAON UMRED (NAGPUR)                   0.00             9680.00                0.00                  0.00              0.00                0.00                0.00
00916 THANEPADA                                0.00             1959.00                0.00                  0.00              0.00                0.00                0.00
00917 HARISAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00918 HYDERABAD KHAIRATABAD                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00919 MOLAGI                               64600.00                0.00                0.00                  0.00              0.00                0.00                0.00
00920 MALWADA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00921 VARSAI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00922 BHILLAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00923 DAHEGAON BOLKA                           0.00             1875.00                0.00                  0.00              0.00                0.00                0.00
00924 CHARAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00925 KOLKATA  SHYAMBAZAR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00926 AHMEDABAD KESHAVNAGAR                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00927 TEMBHE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00928 LATUR MIDC                           34839.00                0.00                0.00                  0.00              0.00                0.00                0.00
00929 KHAPARDE BAGICHA                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00930 SOLAPUR ASHOK CHOWK                      0.00                0.00                0.00                180.00              0.00                0.00                0.00
00931 MAHIJALGAON                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00932 SALVAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00934 SHINDEWADI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00935 FURSUNGI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00936 KHAMB                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00937 SAVEDI AHMEDNAGAR                        0.00            20000.00                0.00                  0.00              0.00                0.00                0.00
00938 CHHA SAMBHAJINAGAR-CIDCO                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00939 DANG SOUNDANE                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00940 GADCHIROLI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00941 PUNE INDUSTRIAL FINANCE                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00942 BANGALORE RAJESHWARINAGAR                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00943 WARANGAL                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00944 BELGAUM KHASBAG                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00945 BURHANPUR                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00946 BHOPAL GAUTAMNAGAR                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00947 NAGPUR AYODHYA NAGAR                     0.00                0.00                0.00               4300.00-             0.00                0.00                0.00
00948 JAILAXMIPURAM MYSORE                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00949 KOLKATA  M G ROAD WEST                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00950 NIZAMPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00951 NAGPUR BHAGWAN NAGAR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00952 TUDIYE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00953 OTUR                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00954 PUNE VADGAONSHERI                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00955 HYDERABAD SAFILGUDA                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00956 BELLARY                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00957 BIRWADI                                  0.00                0.00                0.00               3772.00              0.00                0.00                0.00
00958 KINGAON RAJA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00959 IGATPURI                                 0.00             5390.00                0.00                  0.00              0.00                0.00                0.00
00960 PATAN                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  20
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00961 PAHAPAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00962 BRAHMANGAON                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00963 KALWAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00964 MUMBAI DAHISAR EAST                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00965 KOLKATA  CHANDNICHOWK                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00966 VADGAON PATHARDI                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00967 NIMGAON SAWA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00968 TAKLI BHAN                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00969 KODOLI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00970 PUNE KARVE NAGAR                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00971 AHMEDABAD AMBAWADI                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00972 MUMBAI INDUSTRIAL FINANCE                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00973 KOLKATA  FIRINGI KALIBARI                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00974 NEWDELHI KALKAJI                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00975 KANPUR SINDHUNAGAR                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00976 NERUL TOWNSHIP                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00977 BARODA KARELI BAUG                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00978 MUMBAI FILM CITY GOREGAON                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00979 PELHAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00980 MUMBAI GADKARI CHOWK DADAR               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00981 RAIPUR BYRON BAZAR                       0.00                0.00                0.00                  0.00              0.00                0.00         15850792.00-
00982 MUMBAI MALAD EAST (DEOCHANDNAGAR)        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00983 ATHAWA LINES,SURAT                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00984 CHALE                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00985 TEMBURDA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00986 MHAKVE ( old BANAGE)                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00987 KASHIL                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00988 PETH KINHAI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00989 KOWAD                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00990 CHINCHOLI RAO                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00991 BHOO                                     0.00             1499.00                0.00             150000.00              0.00                0.00                0.00
00992 PAIT                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00993 SHEGAON  (SANGLI)                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00994 PALSO                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00995 DANDI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00996 VARKUNTEE MALWADI SATARA                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00997 KALAS                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00998 YENEGUR                                  0.00                0.00                0.00                708.00              0.00                0.00                0.00
00999 (POSARE) BHOM                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01000 PUNE INDIRA VASAHAT                   1288.00                0.00                0.00                  0.00              0.00                0.00                0.00
01001 MUMBAI SERVICE BRANCH                    0.00          5903804.98-               0.00            2292755.25-             0.00                0.00                0.00
01002 CHANDUR RAILWAY (SATEPHAL)               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01003 DEOGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01004 PUNE SERVICE BRANCH                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01005 KORA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01006 NARIMAN POINT-OVERSEAS BRANCH, MU        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01007 HYDERABAD JAMBAGH                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01008 VIRSI                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01009 VADNER KHAKURDI                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
01010 NANASHI                                  0.00              800.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:  21
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
01011 PANIPAT                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
